Name,Ticker,Price,Update Time
Apple Inc.,AAPL,222.78,2025-01-27 12:56:19
Microsoft Corporation,MSFT,444.06,2025-01-27 12:56:19
Alphabet Inc.,GOOGL,200.21,2025-01-27 12:56:19
"Amazon.com, Inc.",AMZN,234.85,2025-01-27 12:56:19
"Meta Platforms, Inc.",META,647.49,2025-01-27 12:56:19
NVIDIA Corporation,NVDA,142.62,2025-01-27 12:56:19
"Tesla, Inc.",TSLA,406.58,2025-01-27 12:56:19
Broadcom Inc.,AVGO,244.7,2025-01-27 12:56:19
Oracle Corporation,ORCL,183.6,2025-01-27 12:56:19
"Cisco Systems, Inc.",CSCO,62.23,2025-01-27 12:56:19
JPMorgan Chase & Co.,JPM,264.84,2025-01-27 12:56:19
Bank of America Corporation,BAC,46.52,2025-01-27 12:56:19
Wells Fargo & Company,WFC,77.32,2025-01-27 12:56:19
"The Goldman Sachs Group, Inc.",GS,636.9,2025-01-27 12:56:19
Morgan Stanley,MS,137.82,2025-01-27 12:56:19
"BlackRock, Inc.",BLK,1020.45,2025-01-27 12:56:19
Citigroup Inc.,C,81.48,2025-01-27 12:56:19
S&P Global Inc.,SPGI,513.75,2025-01-27 12:56:19
American Express Company,AXP,321.34,2025-01-27 12:56:19
Visa Inc.,V,330.2,2025-01-27 12:56:19
Johnson & Johnson,JNJ,146.82,2025-01-27 12:56:19
UnitedHealth Group Incorporated,UNH,532.51,2025-01-27 12:56:19
Pfizer Inc.,PFE,26.09,2025-01-27 12:56:19
"Merck & Co., Inc.",MRK,95.55,2025-01-27 12:56:19
AbbVie Inc.,ABBV,170.3,2025-01-27 12:56:19
Eli Lilly and Company,LLY,785.41,2025-01-27 12:56:19
Thermo Fisher Scientific Inc.,TMO,574.82,2025-01-27 12:56:19
Abbott Laboratories,ABT,125.03,2025-01-27 12:56:19
Danaher Corporation,DHR,245.8,2025-01-27 12:56:19
Bristol-Myers Squibb Company,BMY,59.67,2025-01-27 12:56:19
The Procter & Gamble Company,PG,164.12,2025-01-27 12:56:19
The Coca-Cola Company,KO,61.92,2025-01-27 12:56:19
"PepsiCo, Inc.",PEP,149.12,2025-01-27 12:56:19
Walmart Inc.,WMT,94.76,2025-01-27 12:56:19
"The Home Depot, Inc.",HD,414.5,2025-01-27 12:56:19
McDonald's Corporation,MCD,285.46,2025-01-27 12:56:19
"NIKE, Inc.",NKE,73.57,2025-01-27 12:56:19
The Walt Disney Company,DIS,112.16,2025-01-27 12:56:19
Costco Wholesale Corporation,COST,939.68,2025-01-27 12:56:19
Starbucks Corporation,SBUX,98.81,2025-01-27 12:56:19
Exxon Mobil Corporation,XOM,108.66,2025-01-27 12:56:19
Chevron Corporation,CVX,155.65,2025-01-27 12:56:19
Linde plc,LIN,439.25,2025-01-27 12:56:19
RTX Corporation,RTX,125.31,2025-01-27 12:56:19
Honeywell International Inc.,HON,221.51,2025-01-27 12:56:19
Caterpillar Inc.,CAT,407.63,2025-01-27 12:56:19
"United Parcel Service, Inc.",UPS,133.03,2025-01-27 12:56:19
The Boeing Company,BA,176.06,2025-01-27 12:56:19
GE Aerospace,GE,196.75,2025-01-27 12:56:19
3M Company,MMM,149.43,2025-01-27 12:56:19
